Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000155648729898483,0.0272260605212869,-0.0160506872006314,0,0,0,2.39673115484037,0.0649359676606888,-3.23309878937406E-06,-1.5801707361801E-05,0.151052606287283,0.00348651743736052,0.0913994713096704,0,0,0,0,0,0,package://alfredroverfinal/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/base_link.STL,,alfred_rover_final.step-1/Rover.step-1/Rover-bottom half2.step-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_wheel,-1.23207411052706E-06,-1.81423617004461E-07,3.7972214399995E-05,0,0,0,0.870754309555774,0.00147130345611962,1.67237487338077E-07,-3.50030378056275E-05,0.0014701923478899,-5.15421732401467E-06,0.00254895254910207,0,0,0,0,0,0,package://alfredroverfinal/meshes/right_wheel.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/right_wheel.STL,,alfred_rover_final.step-1/Rover.step-1/drive_wheel[1]2.step-2,Coordinate System13,Axis1,rightwheel,continuous,-0.26018,0.029145,0.015932,1.3494,-1.421,-1.3518,base_link,0.032429,0.0047752,-0.99946,10,10,,,,,0.1,0.1,,,,
left_wheel,-2.77555756156289E-17,0,0.0264620073692989,0,0,0,0.870754309555773,0.0014701677220743,1.26537954205295E-20,-1.12236956324533E-20,0.0014701677220743,1.35697148354514E-20,0.00255011290896298,0,0,0,0,0,0,package://alfredroverfinal/meshes/left_wheel.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/left_wheel.STL,,alfred_rover_final.step-1/Rover.step-1/drive_wheel[1]2.step-1,Coordinate System3,Axis2,leftwheel,revolute,0.28572,0.023368,0.015582,3.1416,1.5708,0,base_link,0,0,1,10,10,0,0,,,0.1,0.1,,,,
caster_wheel_1,0.00541387546373896,-0.00362424514238398,2.31731049905037E-05,0,0,0,0.00813681147059775,6.88663031872148E-07,1.39258615440213E-07,-1.73175409558386E-09,1.31727307889561E-06,4.4442362691297E-10,1.14243246485713E-06,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_1.STL,0.796078431372549,0.796078431372549,0.796078431372549,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_1.STL,,alfred_rover_final.step-1/Rover.step-1/CASTER_WHEEL_1.step-1/(Unsaved).step-1,Coordinate System11,Axis4,casterwheel1,fixed,-0.25509,-0.00050335,-0.1737,-0.34384,-1.5669,0.34384,base_link,0,0,0,10,10,,,,,,,,,,
caster_wheel_01,1.38777878078145E-17,-3.46944695195361E-18,-5.55111512312578E-17,0,0,0,0.015690813753013,1.58355334748907E-06,-9.24254365042994E-13,-3.01208974436573E-09,1.58354152013519E-06,2.33961114635756E-10,2.34600673978302E-06,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_01.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_01.STL,,alfred_rover_final.step-1/Rover.step-1/CASTER_WHEEL_1.step-1/1.5 inch Caster Wheel.step-1,Coordinate System12,Axis4,casterwheel01,revolute,0.020025,-0.02806,0.00012279,2.5881E-05,0.0003332,0.076219,caster_wheel_1,0.0039504,-0.00030685,-0.99999,10,10,0,0,,,0.1,0.1,,,,
caster_wheel_2,-0.00538390592464583,0.00366600876644682,0.000140264395563694,0,0,0,0.00813681147059776,6.91141686832364E-07,1.44060987188059E-07,1.15107747536255E-08,1.31508135810754E-06,-3.53798068585968E-09,1.14214553068499E-06,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_2.STL,0.796078431372549,0.796078431372549,0.796078431372549,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_2.STL,,alfred_rover_final.step-1/Rover.step-1/CASTER_WHEEL_1.step-2/(Unsaved).step-1,Coordinate System4,Axis3,casterwheel2,fixed,-0.25509,-0.00050335,0.15807,0.34373,1.544,-2.7978,base_link,0,0,0,10,10,,,,,0.1,0.1,,,,
caster_wheel_02,0,0,-5.55111512312578E-17,0,0,0,0.015690813753013,1.58431628208126E-06,-6.20213445772099E-10,-2.4285964552773E-08,1.58403789642135E-06,1.94396307842574E-08,2.34474742890467E-06,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_02.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_02.STL,,alfred_rover_final.step-1/Rover.step-1/CASTER_WHEEL_1.step-2/1.5 inch Caster Wheel.step-1,Coordinate System6,Axis3,casterwheel02,revolute,-0.0198,0.028214,0.00055628,0.0097515,0.012182,-2.4756,caster_wheel_2,0.031878,-0.025517,-0.99917,10,10,0,0,,,0.1,0.1,,,,
caster_wheel_3,0.00538392776946806,-0.00366600751332797,-0.000139456326991423,0,0,0,0.00813681147059775,6.91159638566033E-07,1.44053452925748E-07,1.1859686889877E-08,1.31508156693025E-06,-3.82016508907123E-09,1.14212737012861E-06,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_3.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_3.STL,,alfred_rover_final.step-1/Rover.step-1/(Unsaved)_3.step-1/(Unsaved)_3-8.step-1;alfred_rover_final.step-1/Rover.step-1/(Unsaved)_3.step-1/(Unsaved)_3-7.step-1;alfred_rover_final.step-1/Rover.step-1/(Unsaved)_3.step-1/(Unsaved)_3-6.step-1;alfred_rover_final.step-1/Rover.step-1/(Unsaved)_3.step-1/(Unsaved)_3-9.step-1;alfred_rover_final.step-1/Rover.step-1/(Unsaved)_3.step-1/(Unsaved)_3-5.step-1,Coordinate System7,Axis6,casterwheel03,fixed,0.25514,-0.00050335,0.15807,-2.8117,-1.5429,2.8116,base_link,0,0,0,10,10,,,,,,,,,,
caster_wheel_03,2.77555756156289E-17,-5.55111512312578E-17,0,0,0,0,0.015690813753013,1.58440199551892E-06,-6.97440399293903E-10,2.55914182693428E-08,1.58410669697378E-06,-2.07408605940244E-08,2.3445929149146E-06,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_03.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_03.STL,,alfred_rover_final.step-1/Rover.step-1/(Unsaved)_3.step-1/1.5 inch Caster Wheel_1.step-1,Coordinate System8,Axis6,casterwheel03,revolute,0.019891,-0.028498,-0.00059982,-0.010622,-0.013105,0.67212,caster_wheel_3,0.033595,-0.027227,0.99906,10,10,0,0,,,0.1,0.1,,,,
caster_wheel_4,0.00541389822389198,-0.00362424516763937,-1.70401862173986E-05,0,0,0,0.00813681147059775,6.88662330084556E-07,1.3925808494676E-07,1.63722193057523E-09,1.31727308049548E-06,-5.87375749999557E-10,1.14243316504485E-06,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_4.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_4.STL,,alfred_rover_final.step-1/Rover.step-1/(Unsaved)_2.step-1/(Unsaved)_2-3.step-1;alfred_rover_final.step-1/Rover.step-1/(Unsaved)_2.step-1/(Unsaved)_2-2.step-1;alfred_rover_final.step-1/Rover.step-1/(Unsaved)_2.step-1/(Unsaved)_2-1.step-1;alfred_rover_final.step-1/Rover.step-1/(Unsaved)_2.step-1/(Unsaved)_2-4.step-1;alfred_rover_final.step-1/Rover.step-1/(Unsaved)_2.step-1/(Unsaved)_2-0.step-1,Coordinate System9,Axis5,casterwheel4,fixed,0.25514,-0.00050335,-0.1737,-2.8116,-1.5668,2.8116,base_link,0,0,0,10,10,,,,,0.1,0.1,,,,
caster_wheel_04,0,0,0,0,0,0,0.015690813753013,1.58355473055731E-06,-1.04217870201633E-12,3.18232739445097E-09,1.5835415301184E-06,-2.4969889564166E-10,2.34600534673159E-06,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_04.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/caster_wheel_04.STL,,alfred_rover_final.step-1/Rover.step-1/(Unsaved)_2.step-1/1.5 inch Caster Wheel_1.step-1,Coordinate System10,Axis5,casterwheel04,revolute,0.020119,-0.028343,-0.00014448,-3.077E-05,-0.00039215,0.077005,caster_wheel_4,0.0041737,-0.00032749,0.99999,10,10,0,0,,,0.1,0.1,,,,
Lidar,7.60771350699907E-05,0.000173648233309398,-0.000166043562173118,0,0,0,0.0250181551110355,4.83347969282592E-06,6.56950320024398E-09,-6.28180138828127E-09,6.68909322972297E-06,1.73950484244045E-06,6.84494033009201E-06,0,0,0,0,0,0,package://alfredroverfinal/meshes/Lidar.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://alfredroverfinal/meshes/Lidar.STL,,alfred_rover_final.step-1/Rover.step-1/Component49.step-1,Coordinate System14,Axis7,Lidar,revolute,-0.0010173,0.18784,0.16863,2.3338,0,3.1416,base_link,0,-0.6911,-0.72276,10,10,0,0,,,,,,,,
